编码:  --------------------------- 000300 --------------  美联储突然宣布缩表.

缺口: 

日期        总成交量 总成交额  O        C        H        L        涨跌幅 沪股通   深港通
08.21(周一) 1.00亿   1239.12亿 3731.84  3740.99  3744.26  3728.62  +0.44% -1.57亿  +4.35亿  高开震荡收涨

08.18(周五) 9656万   1230.78亿 3707.19  3724.67  3733.49  3700.41  +0.09% +0.37亿  -10.1亿  低开震荡微涨

08.17(周四) 1.09亿   1370.20亿 3707.07  3721.28  3722.62  3704.41  +0.54% -0.28亿  +8.15亿  高开震荡收涨

08.16(周三) 1.04亿   1272.82亿 3701.13  3701.42  3797.04  3679.73  -0.13% +2.08亿  +7.15亿  低开震荡微跌

08.15(周二) 1.06亿   1247.91亿 3695.78  3706.06  3719.29  3692.28  +0.31% -2.06亿  +2.21亿  微幅高开冲高震荡收涨

08.14(周一) 1.15亿   1402.34亿 3651.38  3694.68  3698.37  3651.38  +1.30% -2.12亿  +5.38亿  高开震荡大涨

